year,type,discipline,event,as,athlete_id,noc,team,place,tied,medal,First_Name,Last_Name
1984.0,Summer,Sailing,"Two Person Dinghy, Open (Olympic)",Dhruv Bhandari,61344,IND,Farokh Tarapore,17.0,False,,Dhruv,Bhandari
1992.0,Summer,Sailing,"Two Person Dinghy, Men (Olympic)",Cyrus Cama,61531,IND,Farokh Tarapore,23.0,False,,Cyrus,Cama
1972.0,Summer,Sailing,"Two Person Heavyweight Dinghy, Open (Olympic)",Sohrab Janshed Contractor,61654,IND,Ahmed Abdul Basith,29.0,False,,Sohrab,Janshed
1972.0,Summer,Sailing,"One Person Dinghy, Open (Olympic)",Tehmasp Rustom Mogul,63035,IND,,34.0,False,,Tehmasp,Rustom
1988.0,Summer,Sailing,"Two Person Dinghy, Men (Olympic)",Kelly Subbanand Rao,63401,IND,Farokh Tarapore,17.0,False,,Kelly,Subbanand
1984.0,Summer,Sailing,"Two Person Dinghy, Open (Olympic)",Farokh Tarapore,63868,IND,Dhruv Bhandari,17.0,False,,Farokh,Tarapore
1988.0,Summer,Sailing,"Two Person Dinghy, Men (Olympic)",Farokh Tarapore,63868,IND,Kelly Subbanand Rao,17.0,False,,Farokh,Tarapore
1992.0,Summer,Sailing,"Two Person Dinghy, Men (Olympic)",Farokh Tarapore,63868,IND,Cyrus Cama,23.0,False,,Farokh,Tarapore
2000.0,Summer,Tennis,"Doubles, Women (Olympic)",Manisha Malhotra,70130,IND,Nirupama Vaidyanathan,17.0,True,,Manisha,Malhotra
2000.0,Summer,Tennis,"Doubles, Women (Olympic)",Nirupama Vaidyanathan,71045,IND,Manisha Malhotra,17.0,True,,Nirupama,Vaidyanathan
1984.0,Summer,Athletics,"800 metres, Women (Olympic)",Shiny Abraham,71356,IND,,8.0,False,,Shiny,Abraham
1984.0,Summer,Athletics,"4 × 400 metres Relay, Women (Olympic)",Shiny Abraham,71356,IND,India,7.0,False,,Shiny,Abraham
1988.0,Summer,Athletics,"800 metres, Women (Olympic)",Shiny Abraham,71356,IND,,6.0,False,,Shiny,Abraham
1988.0,Summer,Athletics,"4 × 400 metres Relay, Women (Olympic)",Shiny Abraham,71356,IND,India,7.0,False,,Shiny,Abraham
1992.0,Summer,Athletics,"800 metres, Women (Olympic)",Shiny Wilson,71356,IND,,4.0,False,,Shiny,Wilson
1996.0,Summer,Athletics,"4 × 400 metres Relay, Women (Olympic)",Shiny Wilson,71356,IND,India,1.0,False,,Shiny,Wilson
1952.0,Summer,Athletics,"100 metres, Women (Olympic)",Mary D'Souza,71357,IND,,5.0,False,,Mary,D'Souza
1952.0,Summer,Athletics,"200 metres, Women (Olympic)",Mary D'Souza,71357,IND,,7.0,False,,Mary,D'Souza
1960.0,Summer,Athletics,"200 metres, Women (Olympic)",Stephie D'Souza,71358,IND,,,False,,Stephie,D'Souza
1960.0,Summer,Athletics,"800 metres, Women (Olympic)",Stephie D'Souza,71358,IND,,,False,,Stephie,D'Souza
1964.0,Summer,Athletics,"400 metres, Women (Olympic)",Stephie D'Souza,71358,IND,,6.0,False,,Stephie,D'Souza
1952.0,Summer,Athletics,"100 metres, Women (Olympic)",Nilima Ghose,71359,IND,,5.0,False,,Nilima,Ghose
1952.0,Summer,Athletics,"80 metres Hurdles, Women (Olympic)",Nilima Ghose,71359,IND,,5.0,False,,Nilima,Ghose
1988.0,Summer,Athletics,"400 metres, Women (Olympic)",Mercy Kuttan-Mathews,71360,IND,,8.0,False,,Mercy,Kuttan-Mathews
1988.0,Summer,Athletics,"4 × 400 metres Relay, Women (Olympic)",Mercy Kuttan-Mathews,71360,IND,India,7.0,False,,Mercy,Kuttan-Mathews
1996.0,Summer,Athletics,"4 × 400 metres Relay, Women (Olympic)",Rosa Kutty,71361,IND,India,1.0,False,,Rosa,Kutty
2000.0,Summer,Athletics,"4 × 400 metres Relay, Women (Olympic)",Rosa Kutty,71361,IND,India,5.0,False,,Rosa,Kutty
1996.0,Summer,Athletics,"4 × 400 metres Relay, Women (Olympic)",K. M. Beenamol,71362,IND,India,1.0,False,,K.,M.
2000.0,Summer,Athletics,"400 metres, Women (Olympic)",K. M. Beenamol,71362,IND,,8.0,False,,K.,M.
2000.0,Summer,Athletics,"4 × 400 metres Relay, Women (Olympic)",K. M. Beenamol,71362,IND,India,5.0,False,,K.,M.
2004.0,Summer,Athletics,"4 × 400 metres Relay, Women (Olympic)",K. M. Beenamol,71362,IND,India,7.0,False,,K.,M.
1956.0,Summer,Athletics,"100 metres, Women (Olympic)",Mary Rao,71363,IND,,1.0,False,,Mary,Rao
1956.0,Summer,Athletics,"80 metres Hurdles, Women (Olympic)",Mary Rao,71363,IND,,,False,,Mary,Rao
1984.0,Summer,Athletics,"4 × 400 metres Relay, Women (Olympic)",Vandana Rao,71364,IND,India,7.0,False,,Vandana,Rao
1988.0,Summer,Athletics,"4 × 400 metres Relay, Women (Olympic)",Vandana Rao,71364,IND,India,7.0,False,,Vandana,Rao
